Author, Title, Category, Description
Jac Semmler, Super Bloom: A Field Guide to Flowers for Every Gardener, Education, A practical flower-growing guide with plant profiles and advice for designing and caring for a blooming garden.
Will Buxton, Grand Prix: An Illustrated History of Formula 1, Motorsports, An illustrated overview of Formula 1’s history; key drivers; teams; cars; and defining moments.
Tom Newton, How Cars Work: An Illustrated Guide for Curious Kids; Teens; and Beginners, Education, A diagram-led introduction to how car systems like engines; brakes; and transmissions function.
Lonely Planet, Lonely Planet’s Where to Go When, Travel, A month-by-month travel inspiration guide recommending destinations based on the best times to visit.
Alessandro Di Lullo; János Barberis; Tamás Haiman, The EdTech Book: The World’s First Crowdsourced Book on EdTech, Education, A crowdsourced collection of perspectives and practical ideas on education technology and learning innovation.
Frida Ramstedt, The Interior Design Handbook, Education, A practical guide to core interior design principles like layout; proportion; lighting; and styling.
Robin Barton, 101 Weekends in Europe, Travel, A curated travel guide of weekend trip ideas across Europe with highlights and planning inspiration.
Chinese Express, Talk Chinese, Language Learning, A beginner-focused Chinese phrasebook/course aimed at everyday communication and basic conversation.
Heather Thomas, The Sweet Potato Cookbook, Cookbook, A recipe collection centered on sweet potatoes across meals sides and desserts.
Janelle Shane, You Look Like a Thing and I Love You, Non-Fiction, A funny and accessible tour of AI’s weird failures and what they reveal about machine learning.
Cathy O’Neil, Weapons of Math Destruction, Non-Fiction, An argument about how opaque algorithms can scale harm and reinforce inequality in real-world systems.
Stephen Hawking, Brief Answers to the Big Questions, Popular Science, A collection of Hawking’s reflections on major scientific and philosophical questions about the universe and humanity’s future.
Peter Thiel; Blake Masters, Zero to One: Notes on Startups; or How to Build the Future, Non-Fiction, A startup manifesto arguing that real progress comes from creating new things rather than copying competitors.
James O’Brien, How Not to Be Wrong: The Art of Changing Your Mind, Non-Fiction, A personal exploration of how beliefs form and how to rethink them in a polarized world.
Carol S. Dweck, Mindset: The New Psychology of Success, Non-Fiction, A popular psychology book contrasting fixed vs growth mindsets and how they affect learning and achievement.
George Orwell, Nineteen Eighty-Four, Fiction, A dystopian novel about totalitarian control; surveillance; and the manipulation of truth.
George Orwell, Animal Farm, Fiction, A political allegory in which farm animals overthrow humans only to watch power corrupt the revolution.
Daniel Kahneman; Olivier Sibony; Cass R. Sunstein, Noise: A Flaw in Human Judgment, Non-Fiction, A book about inconsistency in judgments and how “noise” quietly worsens decisions in institutions.
Robert Habeck, Von hier an anders, Non-Fiction, unknown
Anne Frank, The Diary of a Young Girl, Memoir, The wartime diary of a Jewish teenager hiding from Nazi persecution in Amsterdam.
Gerd Gigerenzer, How to Stay Smart in a Smart World, Popular Science, An argument for why human judgment and heuristics still matter in an age of algorithms and data overload.
Ankur Warikoo, Do Epic Shit, Self-Help, A motivational advice book on habits, decisions, and personal growth framed in short, punchy lessons.
Jack London, The Sea-Wolf, Fiction, An adventure novel about a shipwreck survivor forced to confront a brutal captain and harsh survival at sea.
Levy Rozman, How to Win at Chess, Education, A beginner-friendly chess improvement guide focusing on core principles; tactics; and practical play.
Wolfgang Herrndorf, Tschick, Fiction, A coming-of-age road trip novel about two teenage outsiders taking a stolen car across Germany.
Bryn Thomas, Trans-Siberian Handbook: The Trailblazer Guide to the Trans-Siberian Railway Journey, Travel, A practical guide to planning and riding the Trans-Siberian Railway with city stops and logistics.
Randall Munroe, (German) How To: Absurd Scientific Advice for Common Real-World Problems, Non-Fiction, Comedic “how-to” scenarios solved with real science taken to ridiculous extremes.
Yuval Noah Harari, 21 Lessons for the 21st Century, Non-Fiction, Essays on contemporary challenges like politics, technology, and meaning in a rapidly changing world.
Heather Morris, The Tattooist of Auschwitz, Historical Fiction, A Holocaust-era love and survival story based on the experiences of Lale Sokolov and Gita Furman in Auschwitz.
Morton Rhue, Die Welle, Fiction, A classroom experiment in authoritarianism spirals out of control; based on the “Third Wave” teaching experiment.
William Golding, Lord of the Flies, Fiction, Stranded boys attempt self-rule and descend into violence; exploring civility; power; and human nature.
Wolf Haas, Ausgebremst: Der Roman zur Formel 1, Fiction, A novel set around Formula 1 culture and obsession; framed in Haas’s darkly comic style.
Richard David Precht, Künstliche Intelligenz und der Sinn des Lebens: Ein Essay, Non-Fiction, An essay-style reflection on how AI could reshape work, society, and human meaning.
Carla A. Harris, Lead to Win: How to Be a Powerful, Non-Fiction, Influential Leader in Any Environment, Leadership, A practical leadership playbook focused on influence, performance, and career progression.
Ray Bradbury, Fahrenheit 451, Fiction, A dystopian novel where books are burned and conformity is enforced through censorship and mass media.
David Grann, Killers of the Flower Moon: The Osage Murders and the Birth of the FBI, True Crime, An investigative history of the Osage murders and the early development of the FBI.
Carlos Fuentes, Aura, Fiction, A short; eerie magical-realist novella told in second person; set in Mexico City and driven by obsession and doubling identities.
Louis Sachar, The Cardturner, Fiction, A teen becomes his rich uncle’s bridge “cardturner” and stumbles into secrets; skill; and growing up.
Henry David Thoreau, Walden; or Life in the Woods, Non-Fiction, A reflection on simple living and self-reliance drawn from Thoreau’s time at Walden Pond.
Jordan B. Peterson, 12 Rules for Life: An Antidote to Chaos, Self-Help, A set of life “rules” blending psychology and philosophy into advice about responsibility and meaning.
Paco Ardit, Muerte en Buenos Aires (Spanish Novels for Beginners A1), Language Learning, A graded Spanish reader for beginners using a simple mystery narrative to build vocabulary and fluency.
